name,phone,website,email,founder,district,source,email_source
Karadeniz Proje San. Tic. A.Ş.,+90 534 246 18 12,https://www.karadenizprojes.net.tr,direktor@karadenizprojes.net.tr,Burak Çelik,Adalar,Generated Database,Generated
Ege Sales San. Tic. A.Ş.,+90 546 900 37 48,https://www.egesalessantica.com.tr,mudur@egesalessantica.com.tr,İbrahim Demir,Adalar,Generated Database,Generated
Finest Kiralama Gayrimenkul A.Ş.,+90 533 734 81 79,,contact@finestkiralamaa.org.tr,,Adalar,Generated Database,Generated
Future Excellence Proje,+90 216 895 17 38,https://www.futureexcellenc.net.tr,musteri1@futureexcellenc.net.tr,,Adalar,Generated Database,Generated
Göl Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 992 56 87,https://www.golyatiriminssa.com,support.tr@golyatiriminssa.com,Kaan Doğan,Adalar,Generated Database,Generated
Kalkınma İleriye Danışmanlık A.Ş.,+90 530 338 58 86,https://www.kalkinmaileriye.net.tr,contact@kalkinmaileriye.net.tr,,Arnavutköy,Generated Database,Generated
Sağlam Project Ltd.,+90 539 761 64 97,https://www.saglamproject.org.tr,contact@saglamproject.org.tr,Gül Aktaş,Arnavutköy,Generated Database,Generated
Deniz Gayrimenkul İnş. San. Tic. Ltd. Şti.,+90 531 371 78 69,https://www.denizinssantics.org.tr,bilgi@denizinssantics.org.tr,Nevin Yılmaz,Arnavutköy,Generated Database,Generated
Finest Real Estate Ltd. Şti.,+90 212 520 31 73,https://www.fineststi.com.tr,contact@fineststi.com.tr,Gül Ateş,Arnavutköy,Generated Database,Generated
Yeni Real Estate Ltd.,+90 216 309 91 91,,office@yeni.net.tr,,Arnavutköy,Generated Database,Generated
Hakiki Consulting A.Ş.,+90 216 972 77 38,https://www.hakikiconsultin.info.tr,ofis@hakikiconsultin.info.tr,Murat Kurt,Arnavutköy,Generated Database,Generated
Sağlam Lake Kiralama San. Tic. A.Ş.,+90 536 691 46 39,https://www.saglamlakekiral.org.tr,office@saglamlakekiral.org.tr,İbrahim Çakır,Arnavutköy,Generated Database,Generated
Doğru Yapı,+90 212 458 55 65,https://www.dogruyapi.net.tr,ofis@dogruyapi.net.tr,Ahmet Özdemir,Arnavutköy,Generated Database,Generated
Crystal Güven Consulting Gayrimenkul A.Ş.,+90 533 584 52 58,,istanbul.ofis@crystalguvenas.com,Erkan Çelik,Arnavutköy,Generated Database,Generated
Vadi Konsultant İnş. San. Tic. Ltd. Şti.,+90 212 323 60 90,https://www.vadikonsultanti.net.tr,ist.consultant@vadikonsultanti.net.tr,,Arnavutköy,Generated Database,Generated
Luxury Proje Ltd.,+90 540 691 54 66,https://www.luxuryproje.org.tr,director.ist@luxuryproje.org.tr,,Adalar,Generated Database,Generated
Yeni Proje Yatırım A.Ş.,+90 535 815 50 74,,ist.ofis@yeniprojeyatiri.com.tr,Emine Kara,Arnavutköy,Generated Database,Generated
Anadolu İnşaat Gayrimenkul A.Ş.,+90 531 465 48 96,,istanbul.service@anadoluinsaatas.org.tr,,Arnavutköy,Generated Database,Generated
Digital Pazarlama,+90 545 846 67 48,https://www.digitalpazarlam.com.tr,customer@digitalpazarlam.com.tr,Hasan Ateş,Arnavutköy,Generated Database,Generated
Ocak Nehir Konsultant İnş. San. Tic. Ltd. Şti.,+90 535 752 78 61,,direktor@ocaknehirkonsul.info.tr,Hasan Özdemir,Arnavutköy,Generated Database,Generated
Industry Rental A.Ş.,+90 212 486 73 14,https://www.industryrentala.com,contact.tr@industryrentala.com,Cem Korkmaz,Arnavutköy,Generated Database,Generated
Kalkınma Satış İnş. San. Tic. Ltd. Şti.,+90 533 541 42 70,,direktor@kalkinmasatisin.com,,Arnavutköy,Generated Database,Generated
Bizim Real Estate Ltd.,+90 216 670 88 43,https://www.bizim.info.tr,servis@bizim.info.tr,,Arnavutköy,Generated Database,Generated
Taksim Marketing İnşaat Ltd. Şti.,+90 544 424 17 53,,info@taksimmarketing.net.tr,Tülay Demir,Arnavutköy,Generated Database,Generated
Europe Güvenli Konut İnş. San. Tic. Ltd. Şti.,+90 549 305 82 87,https://www.europeguvenliko.com.tr,istanbul.general@europeguvenliko.com.tr,Cem Aydın,Arnavutköy,Generated Database,Generated
Anadolu Sales İnşaat Ltd. Şti.,+90 216 454 87 26,https://www.anadolusalesins.com.tr,emlak@anadolusalesins.com.tr,Yusuf Bayrak,Arnavutköy,Generated Database,Generated
Garden Crown Consulting Ltd. Şti.,+90 216 385 71 57,,bilgi@gardencrownsti.com.tr,,Arnavutköy,Generated Database,Generated
Ticaret Satış,+90 535 994 49 21,,info@ticaretsatis.com.tr,Burcu Kaya,Arnavutköy,Generated Database,Generated
Corporate Emlak Yatırım A.Ş.,+90 548 686 48 38,https://www.corporateyatiri.com.tr,satis@corporateyatiri.com.tr,Sevil Güven,Arnavutköy,Generated Database,Generated
İleriye Reliable Project A.Ş.,+90 539 514 18 89,https://www.ileriyereliable.com.tr,info@ileriyereliable.com.tr,,Arnavutköy,Generated Database,Generated
Trade Residence Gayrimenkul A.Ş.,+90 540 642 94 83,https://www.traderesidencea.com.tr,iletisim@traderesidencea.com.tr,Onur Öztürk,Arnavutköy,Generated Database,Generated
Millet Sales İnşaat Ltd. Şti.,+90 544 849 20 64,https://www.milletsalesinsa.info.tr,mudur@milletsalesinsa.info.tr,,Ataşehir,Generated Database,Generated
Royal Proje A.Ş.,+90 540 555 24 46,https://www.royalprojeas.com.tr,destek@royalprojeas.com.tr,,Ataşehir,Generated Database,Generated
Center Gayrimenkul Ltd.,+90 543 129 12 21,https://www.center.info.tr,ofis@center.info.tr,Onur Aksoy,Ataşehir,Generated Database,Generated
İstanbul Satış Ltd.,+90 543 295 14 11,,emlak@istanbulsatis.info.tr,Can Güven,Ataşehir,Generated Database,Generated
Tech Pazarlama Gayrimenkul A.Ş.,+90 533 806 35 86,https://www.techpazarlamaas.info.tr,service@techpazarlamaas.info.tr,İsmail Demir,Ataşehir,Generated Database,Generated
Family Development,+90 212 574 92 34,,bilgi@familydevelopme.com.tr,,Ataşehir,Generated Database,Generated
Orman Pazarlama İnşaat Ltd. Şti.,+90 212 330 99 31,https://www.ormanpazarlamai.net.tr,servis@ormanpazarlamai.net.tr,İsmail Yıldız,Ataşehir,Generated Database,Generated
Next Development Gayrimenkul A.Ş.,+90 544 479 85 58,https://www.nextdevelopment.com.tr,danisan@nextdevelopment.com.tr,Kemal Tuncer,Ataşehir,Generated Database,Generated
River Kiralama Gayrimenkul A.Ş.,+90 533 207 56 75,https://www.riverkiralamaas.org.tr,iletisim@riverkiralamaas.org.tr,Can Korkmaz,Ataşehir,Generated Database,Generated
Lake Marketing İnş. San. Tic. Ltd. Şti.,+90 212 972 79 99,,admin@lakemarketingin.org.tr,Serpil Tuncer,Ataşehir,Generated Database,Generated
Park Sağlam İnşaat İnş. San. Tic. Ltd. Şti.,+90 532 824 65 97,https://www.parksaglaminsaa.info.tr,satis@parksaglaminsaa.info.tr,Can Demir,Ataşehir,Generated Database,Generated
Marmara Proje A.Ş.,+90 533 579 97 57,https://www.marmaraprojeas.net.tr,ist.bilgi@marmaraprojeas.net.tr,Pınar Aktaş,Ataşehir,Generated Database,Generated
Göl Kiralama İnş. San. Tic. Ltd. Şti.,+90 532 940 37 38,https://www.golkiralamainss.com,gayrimenkul@golkiralamainss.com,Merve Türk,Ataşehir,Generated Database,Generated
Taksim Yapı Ltd. Şti.,+90 216 348 23 48,https://www.taksimyapisti.com.tr,emlak@taksimyapisti.com.tr,Pınar Aslan,Ataşehir,Generated Database,Generated
Reliable İnşaat San. Tic. A.Ş.,+90 547 800 71 88,https://www.reliableinsaats.info.tr,director.tr@reliableinsaats.info.tr,Gül Bayrak,Ataşehir,Generated Database,Generated
Halk Geliştirme Ltd.,+90 548 599 73 42,,manager@halkgelistirme.net.tr,,Ataşehir,Generated Database,Generated
Quality Kiralama Yatırım A.Ş.,+90 216 302 57 83,https://www.qualitykiralama.com.tr,servis.ist@qualitykiralama.com.tr,Deniz Korkmaz,Ataşehir,Generated Database,Generated
Future Yatırım İnşaat Ltd. Şti.,+90 548 907 15 61,https://www.futureyatirimin.info.tr,danisan@futureyatirimin.info.tr,Serap Arslan,Ataşehir,Generated Database,Generated
House Strong Geliştirme Yatırım A.Ş.,+90 532 702 85 20,https://www.housestronggeli.net.tr,destek@housestronggeli.net.tr,Tülay Koç,Ataşehir,Generated Database,Generated
İleri Aile Investment San. Tic. A.Ş.,+90 212 988 11 91,https://www.ileriaileinvest.org.tr,support.tr@ileriaileinvest.org.tr,Ömer Kara,Arnavutköy,Generated Database,Generated
Royal Kiralama Gayrimenkul A.Ş.,+90 541 210 56 31,https://www.royalkiralamaas.info.tr,mudur@royalkiralamaas.info.tr,Kaan Korkmaz,Ataşehir,Generated Database,Generated
Future Marketing Ltd.,+90 531 576 29 85,https://www.futuremarketing.org.tr,director@futuremarketing.org.tr,Serap Korkmaz,Ataşehir,Generated Database,Generated
Garden Rental Ltd.,+90 536 384 15 30,https://www.gardenrental.net.tr,iletisim@gardenrental.net.tr,Ömer Aydın,Ataşehir,Generated Database,Generated
Excellence İnşaat Ltd. Şti.,+90 212 683 37 40,,ofis.ist@excellenceinsaa.net.tr,Yusuf Arslan,Ataşehir,Generated Database,Generated
River Millet Development Gayrimenkul A.Ş.,+90 212 609 40 80,https://www.rivermilletdeve.org.tr,office@rivermilletdeve.org.tr,,Ataşehir,Generated Database,Generated
Orman Trust Kiralama Ltd. Şti.,+90 534 159 20 81,https://www.ormantrustkiral.org.tr,office1@ormantrustkiral.org.tr,Fatih Tuncer,Ataşehir,Generated Database,Generated
Ev Strong Yapı Gayrimenkul A.Ş.,+90 216 522 92 53,https://www.evstrongyapias.org.tr,genel@evstrongyapias.org.tr,Hasan Doğan,Ataşehir,Generated Database,Generated
Marmara Consulting,+90 537 665 23 76,https://www.marmaraconsulti.com,customer@marmaraconsulti.com,Osman Güven,Avcılar,Generated Database,Generated
Doğru Development İnş. San. Tic. Ltd. Şti.,+90 532 915 28 33,https://www.dogrudevelopmen.com,ist.gayrimenkul@dogrudevelopmen.com,Cem Öztürk,Ataşehir,Generated Database,Generated
Yeşil Danışmanlık A.Ş.,+90 212 781 30 30,https://www.yesildanismanli.org.tr,office.ist@yesildanismanli.org.tr,Fatma Erdoğan,Avcılar,Generated Database,Generated
Luxury Yapı San. Tic. A.Ş.,+90 532 285 52 76,https://www.luxuryyapisanti.com.tr,satis@luxuryyapisanti.com.tr,Ali Ateş,Avcılar,Generated Database,Generated
Merkez Sales San. Tic. A.Ş.,+90 543 280 65 15,https://www.merkezsalessant.com,general@merkezsalessant.com,Onur Aydın,Avcılar,Generated Database,Generated
Aile Millet Residence Ltd. Şti.,+90 216 482 49 75,,director@ailemilletresid.net.tr,Hüseyin Kurt,Avcılar,Generated Database,Generated
Göl Kiralama San. Tic. A.Ş.,+90 547 260 56 29,,emlak@golkiralamaas.com,Efe Kaya,Avcılar,Generated Database,Generated
Vadi İstanbul Consulting İnşaat Ltd. Şti.,+90 533 449 16 83,,customer@vadiistanbulins.com.tr,Hüseyin Korkmaz,Avcılar,Generated Database,Generated
Halk Kalkınma Emlak,+90 212 382 59 68,https://www.halkkalkinma.com,direktor@halkkalkinma.com,,Avcılar,Generated Database,Generated
Deniz Residence,+90 544 508 85 23,https://www.denizresidence.com,manager@denizresidence.com,Hacer Aydın,Avcılar,Generated Database,Generated
Modern Proje,+90 532 263 74 87,,satis@modernproje.com.tr,Emine Yılmaz,Avcılar,Generated Database,Generated
Crystal Sales Yatırım A.Ş.,+90 212 679 61 71,https://www.crystalsalesyat.net.tr,genel@crystalsalesyat.net.tr,Emine Çetin,Avcılar,Generated Database,Generated
Industry Gayrimenkul Ltd.,+90 538 242 12 16,https://www.industry.com,info@industry.com,Emre Şahin,Avcılar,Generated Database,Generated
Silver Development İnş. San. Tic. Ltd. Şti.,+90 533 452 73 85,https://www.silverdevelopme.info.tr,direktor@silverdevelopme.info.tr,İbrahim Kurt,Avcılar,Generated Database,Generated
Europe Consulting A.Ş.,+90 216 383 24 99,https://www.europeconsultin.org.tr,sales.tr@europeconsultin.org.tr,,Avcılar,Generated Database,Generated
Taksim Danışmanlık İnşaat Ltd. Şti.,+90 536 125 36 39,,customer.tr@taksimdanismanl.com.tr,Gülay Aslan,Avcılar,Generated Database,Generated
Superior Residence Yatırım A.Ş.,+90 537 183 97 43,https://www.superiorresiden.org.tr,mudur@superiorresiden.org.tr,Filiz Aslan,Avcılar,Generated Database,Generated
Crystal Kiralama Gayrimenkul A.Ş.,+90 544 905 52 50,https://www.crystalkiralama.info.tr,istanbul.support@crystalkiralama.info.tr,,Avcılar,Generated Database,Generated
Ev Marketing İnşaat Ltd. Şti.,+90 216 617 26 50,https://www.evmarketinginsa.info.tr,ofis@evmarketinginsa.info.tr,Elif Şahin,Avcılar,Generated Database,Generated
Prime Residence Ltd.,+90 536 765 38 59,https://www.primeresidence.net.tr,consultant@primeresidence.net.tr,Dilek Yıldız,Avcılar,Generated Database,Generated
Prestij Orman Pazarlama Gayrimenkul A.Ş.,+90 212 673 20 13,https://www.prestijormanpaz.org.tr,ist.direktor@prestijormanpaz.org.tr,Murat Çakır,Avcılar,Generated Database,Generated
Nehir Geliştirme San. Tic. A.Ş.,+90 216 561 58 91,https://www.nehirgelistirme.com,office1@nehirgelistirme.com,Mustafa Aksoy,Avcılar,Generated Database,Generated
İleri Proje Ltd.,+90 536 832 89 95,https://www.ileriproje.info.tr,general@ileriproje.info.tr,Erkan Öztürk,Avcılar,Generated Database,Generated
Elite Asia Consulting İnş. San. Tic. Ltd. Şti.,+90 537 730 99 88,https://www.eliteasiaconsul.com,istanbul.satis@eliteasiaconsul.com,Fatih Aslan,Avcılar,Generated Database,Generated
Yuva Sales A.Ş.,+90 539 868 56 35,,info@yuvasalesas.org.tr,Osman Şahin,Avcılar,Generated Database,Generated
Lake Consulting İnş. San. Tic. Ltd. Şti.,+90 216 395 37 93,https://www.lakeconsultingi.org.tr,destek@lakeconsultingi.org.tr,Osman Aktaş,Avcılar,Generated Database,Generated
Yuva Sales Ltd.,+90 530 662 75 32,https://www.yuvasales.info.tr,consultant@yuvasales.info.tr,Hasan Özdemir,Avcılar,Generated Database,Generated
Prima Project Ltd.,+90 539 809 29 30,,service.ist@primaproject.com,Can Polat,Bağcılar,Generated Database,Generated
İstanbul Golden Horn İnşaat Yatırım A.Ş.,+90 530 527 78 17,,bilgi@istanbulgoldenh.net.tr,Deniz Şahin,Bağcılar,Generated Database,Generated
Quality Investment İnşaat Ltd. Şti.,+90 534 635 65 80,https://www.qualityinvestme.net.tr,info@qualityinvestme.net.tr,,Bağcılar,Generated Database,Generated
Merkez Marketing Ltd. Şti.,+90 538 811 43 88,https://www.merkezmarketing.com,direktor@merkezmarketing.com,Fatih Çelik,Bağcılar,Generated Database,Generated
İstanbul Real Estate Ltd. Şti.,+90 536 916 95 73,https://www.istanbulsti.org.tr,ist.iletisim@istanbulsti.org.tr,Kemal Özdemir,Bağcılar,Generated Database,Generated
Secure Gayrimenkul Yatırım A.Ş.,+90 216 912 88 81,https://www.secureyatirimas.net.tr,iletisim@secureyatirimas.net.tr,Mehmet Güven,Bağcılar,Generated Database,Generated
Korporat İş Investment San. Tic. A.Ş.,+90 546 624 50 26,https://www.korporatisinves.info.tr,satis@korporatisinves.info.tr,Onur Türk,Bağcılar,Generated Database,Generated
Karadeniz Consulting Yatırım A.Ş.,+90 216 894 25 86,https://www.karadenizconsul.org.tr,istanbul.mudur@karadenizconsul.org.tr,Mustafa Güler,Bağcılar,Generated Database,Generated
Silver Investment Ltd.,+90 536 675 87 92,,sales@silver.com,Erkan Aktaş,Bağcılar,Generated Database,Generated
Çağdaş Sales İnş. San. Tic. Ltd. Şti.,+90 545 312 27 83,https://www.cagdassalesinss.com.tr,ist.iletisim@cagdassalesinss.com.tr,Erkan Aktaş,Bağcılar,Generated Database,Generated
Select Development Yatırım A.Ş.,+90 549 650 39 74,https://www.selectdevelopme.info.tr,emlak@selectdevelopme.info.tr,Ali Kaya,Bağcılar,Generated Database,Generated
Hakiki Family Consulting A.Ş.,+90 533 716 20 98,https://www.hakikifamilycon.com,customer@hakikifamilycon.com,Osman Türk,Bağcılar,Generated Database,Generated
Bosphorus Kiralama Ltd.,+90 543 127 69 58,https://www.bosphoruskirala.com,admin@bosphoruskirala.com,Kaan Aydın,Bağcılar,Generated Database,Generated
Yuva Orman Emlak A.Ş.,+90 216 603 10 47,,gayrimenkul@yuvaormanas.net.tr,,Bağcılar,Generated Database,Generated
River Kiralama İnş. San. Tic. Ltd. Şti.,+90 216 304 71 35,https://www.riverkiralamain.info.tr,danisan.tr@riverkiralamain.info.tr,Burak Demir,Bağcılar,Generated Database,Generated
Innovation Yatırım Yatırım A.Ş.,+90 549 987 45 96,https://www.innovationyatir.com,director@innovationyatir.com,Serap Çelik,Bağcılar,Generated Database,Generated
Aile Deniz Residence A.Ş.,+90 216 555 68 70,https://www.ailedenizreside.org.tr,manager@ailedenizreside.org.tr,,Bağcılar,Generated Database,Generated
Orman Residence San. Tic. A.Ş.,+90 530 124 54 77,,gayrimenkul@ormanresidencea.com.tr,Gülay Çelik,Bağcılar,Generated Database,Generated
Diamond Pazarlama Gayrimenkul A.Ş.,+90 530 741 22 23,https://www.diamondpazarlam.com,musteri@diamondpazarlam.com,Fatih Güven,Bağcılar,Generated Database,Generated
İstanbul Emlak A.Ş.,+90 216 974 71 33,https://www.istanbulas.com,iletisim1@istanbulas.com,Filiz Öztürk,Bağcılar,Generated Database,Generated
Industry Residence İnş. San. Tic. Ltd. Şti.,+90 216 378 83 92,https://www.industryresiden.com,ofis@industryresiden.com,Ahmet Erdoğan,Bağcılar,Generated Database,Generated
Aile Sales Yatırım A.Ş.,+90 536 321 98 28,https://www.ailesalesyatiri.com.tr,emlak@ailesalesyatiri.com.tr,Yusuf Demir,Bağcılar,Generated Database,Generated
Finest Real Estate A.Ş.,+90 532 106 99 86,https://www.finestas.com,manager@finestas.com,Murat Bayrak,Bağcılar,Generated Database,Generated
Platinum Rental İnş. San. Tic. Ltd. Şti.,+90 546 170 10 44,https://www.platinumrentali.org.tr,contact@platinumrentali.org.tr,Osman Öztürk,Bağcılar,Generated Database,Generated
Orman Marketing Ltd. Şti.,+90 537 878 67 27,https://www.ormanmarketings.com.tr,danisan.ist@ormanmarketings.com.tr,Murat Özkan,Bağcılar,Generated Database,Generated
Safe Geliştirme Ltd. Şti.,+90 542 561 30 24,https://www.safegelistirmes.com,sales@safegelistirmes.com,Burcu Bulut,Bahçelievler,Generated Database,Generated
Secure Real Estate Gayrimenkul A.Ş.,+90 536 977 83 66,,servis@secureas.org.tr,,Bahçelievler,Generated Database,Generated
Ege Kiralama İnşaat Ltd. Şti.,+90 531 304 74 28,https://www.egekiralamainsa.net.tr,service@egekiralamainsa.net.tr,Ömer Aslan,Bahçelievler,Generated Database,Generated
Halk Residence San. Tic. A.Ş.,+90 542 509 57 59,https://www.halkresidencesa.com,contact@halkresidencesa.com,Hacer Arslan,Bahçelievler,Generated Database,Generated
Asia Bizim Konsultant Ltd.,+90 547 430 62 47,,satis@asiabizimkonsul.com,Serpil Korkmaz,Bahçelievler,Generated Database,Generated
Merkez Rental San. Tic. A.Ş.,+90 549 111 47 47,https://www.merkezrentalsan.info.tr,genel.ist@merkezrentalsan.info.tr,Burak Çetin,Bahçelievler,Generated Database,Generated
Sea Geliştirme,+90 541 589 78 71,https://www.seagelistirme.net.tr,istanbul.emlak@seagelistirme.net.tr,Gülay Şahin,Bahçelievler,Generated Database,Generated
Akdeniz Satış Ltd. Şti.,+90 530 792 47 50,https://www.akdenizsatissti.com,ist.general@akdenizsatissti.com,,Bahçelievler,Generated Database,Generated
Marmara Rental,+90 534 589 81 37,,sales@marmararental.net.tr,Ayşe Kurt,Bahçelievler,Generated Database,Generated
Aile Rental A.Ş.,+90 548 105 96 83,https://www.ailerentalas.net.tr,destek@ailerentalas.net.tr,Yusuf Yıldız,Bahçelievler,Generated Database,Generated
Yuva Danışmanlık İnşaat Ltd. Şti.,+90 546 157 50 19,,ist.emlak@yuvadanismanlik.net.tr,Kemal Ateş,Bahçelievler,Generated Database,Generated
Kalkınma Sales Yatırım A.Ş.,+90 533 131 32 23,https://www.kalkinmasalesya.org.tr,customer@kalkinmasalesya.org.tr,,Bahçelievler,Generated Database,Generated
Smart Sales San. Tic. A.Ş.,+90 531 234 18 47,https://www.smartsalessanti.org.tr,service@smartsalessanti.org.tr,Osman Aydın,Bahçelievler,Generated Database,Generated
Digital Residence Ltd.,+90 532 285 95 30,,consultant@digitalresidenc.com.tr,,Bahçelievler,Generated Database,Generated
Hearth Geliştirme Gayrimenkul A.Ş.,+90 535 353 64 11,,mudur@hearthgelistirm.com,Mustafa Doğan,Bahçelievler,Generated Database,Generated
Platinum Danışmanlık Ltd.,+90 212 846 70 36,https://www.platinumdanisma.com.tr,destek1@platinumdanisma.com.tr,,Bahçelievler,Generated Database,Generated
Our Innovation Investment Gayrimenkul A.Ş.,+90 216 814 20 15,https://www.ourinnovationin.com,support@ourinnovationin.com,Emine Polat,Bahçelievler,Generated Database,Generated
Strong Proje Ltd. Şti.,+90 212 314 88 56,https://www.strongprojesti.info.tr,emlak.ist@strongprojesti.info.tr,,Bahçelievler,Generated Database,Generated
Altın Proje Ltd. Şti.,+90 541 127 73 81,https://www.altinprojesti.net.tr,service@altinprojesti.net.tr,Serkan Kurt,Bahçelievler,Generated Database,Generated
Quality Sales Gayrimenkul A.Ş.,+90 548 202 20 15,https://www.qualitysalesas.org.tr,service@qualitysalesas.org.tr,,Bahçelievler,Generated Database,Generated
Secure Project İnşaat Ltd. Şti.,+90 547 928 15 28,https://www.secureprojectin.net.tr,info@secureprojectin.net.tr,Serap Yıldız,Bahçelievler,Generated Database,Generated
İleriye Development A.Ş.,+90 546 618 13 86,https://www.ileriyedevelopm.info.tr,support.ist@ileriyedevelopm.info.tr,Mustafa Aksoy,Bahçelievler,Generated Database,Generated
People Real Estate Yatırım A.Ş.,+90 530 225 59 36,https://www.peopleyatirimas.info.tr,emlak.tr@peopleyatirimas.info.tr,,Bahçelievler,Generated Database,Generated
İş Sales Ltd. Şti.,+90 537 713 93 46,https://www.issalessti.info.tr,servis@issalessti.info.tr,Zeynep Çetin,Bahçelievler,Generated Database,Generated
Commercial Gayrimenkul San. Tic. A.Ş.,+90 530 387 73 57,,customer.ist@commercialas.info.tr,Onur Aktaş,Bahçelievler,Generated Database,Generated
Golden Horn Prime Proje Ltd.,+90 212 513 50 91,https://www.goldenhornprime.org.tr,ist.bilgi@goldenhornprime.org.tr,,Bahçelievler,Generated Database,Generated
İleri Doğru Rental Yatırım A.Ş.,+90 545 280 26 69,,ist.manager@ileridogrurenta.info.tr,,Bakırköy,Generated Database,Generated
Vatandaş Geliştirme İnş. San. Tic. Ltd. Şti.,+90 530 315 18 87,https://www.vatandasgelisti.net.tr,manager@vatandasgelisti.net.tr,,Bakırköy,Generated Database,Generated
Home Geliştirme,+90 545 344 97 10,,customer@homegelistirme.net.tr,Deniz Kılıç,Bakırköy,Generated Database,Generated
Hakiki Konut Ltd. Şti.,+90 540 572 11 46,https://www.hakikikonutsti.info.tr,satis.tr@hakikikonutsti.info.tr,,Bakırköy,Generated Database,Generated
Prestij Development San. Tic. A.Ş.,+90 548 719 45 21,https://www.prestijdevelopm.net.tr,istanbul.satis@prestijdevelopm.net.tr,Emre Kılıç,Bakırköy,Generated Database,Generated
Crown Residence A.Ş.,+90 538 549 80 72,https://www.crownresidencea.info.tr,general@crownresidencea.info.tr,Zeynep Öztürk,Bakırköy,Generated Database,Generated
Modern İleriye Konsultant Gayrimenkul A.Ş.,+90 549 709 83 76,https://www.modernileriyeko.info.tr,gayrimenkul@modernileriyeko.info.tr,Efe Ateş,Bakırköy,Generated Database,Generated
Endüstri Proje,+90 216 625 61 28,https://www.endustriproje.info.tr,service@endustriproje.info.tr,Erkan Korkmaz,Bakırköy,Generated Database,Generated
Yeşil Konsultant Yatırım A.Ş.,+90 212 788 32 12,,mudur@yesilkonsultant.net.tr,Fatih Kara,Bakırköy,Generated Database,Generated
Güven Home Konut İnşaat Ltd. Şti.,+90 538 237 69 41,,info.ist@guvenhomekonuti.org.tr,Mustafa Doğan,Bakırköy,Generated Database,Generated
Ege Yatırım,+90 549 315 98 72,https://www.egeyatirim.net.tr,istanbul.consultant@egeyatirim.net.tr,Selin Kaya,Bakırköy,Generated Database,Generated
Innovation Proje A.Ş.,+90 536 803 12 20,https://www.innovationproje.com,contact@innovationproje.com,Deniz Demir,Bakırköy,Generated Database,Generated
